Node-Id;Titel;Url;Bezugsquelle;Spider;Liste
210f0724-781d-43cc-9fae-988b8af5caa5;Greenpeace;https://www.greenpeace.de/bildungsmaterialien;wirlernenonline_spider;wirlernenonline_spider;whitelist
35272959-018f-4b09-bcc3-ae8d47ccd152;Grundschulkönig;https://www.grundschulkoenig.de/;grundschulkoenig_spider;grundschulkoenig_spider;whitelist
163407ce-4ea0-4723-b407-ce4ea0c7232a;Handouts, Games und Links für Nachrichtenkompetenz;https://spreuweizen.de/material/;;;whitelist
af974dee-d83e-46ea-82f1-c464bc68b538;Handwerk macht Schule;https://www.handwerk-macht-schule.de/;;;whitelist
47d275dc-1b0d-4a1d-a3b8-e7f51798317b;Inklusives OER-Wörterbuch;https://redaktion.openeduhub.net/edu-sharing/components/render/47d275dc-1b0d-4a1d-a3b8-e7f51798317b;;;whitelist
5fe544d1-07db-4083-b03c-90aa64b28b6a;JavaLab: Chemische Simulationen;https://javalab.org/en/category/chemistry_en/;;;whitelist
3472e802-e6dc-4af0-9549-f9dd81eff8c3;Jugend hackt;https://jugendhackt.org/;;;whitelist
d81ea43e-6f17-4664-9056-56a944e9494a;K. Dautels ZUM-Materialien | ZUM.de;https://www.zum.de/kdautel;wirlernenonline_spider;wirlernenonline_spider;whitelist
f55ab84d-f271-4adb-8b83-2fecba5642e6;KI-Campus;https://ki-campus.org/;ki_campus_spider;ki_campus_spider;whitelist
48a4555e-ef3e-42c8-8eb8-19909c006a39;KI-Campus | Die Lernplattform für Künstliche Intelligenz;https://ki-campus.org/;;;whitelist
6153c196-4259-4b80-b7b6-092bc0563510;KMap;http://kmap.eu;kmap_spider;kmap_spider;whitelist
cc40295f-45bc-4bf9-9a43-fbe015460c73;KindOERgarten.de;https://kindoergarten.wordpress.com/;kindoergarten_spider;kindoergarten_spider;whitelist
38b9373c-8000-44ab-b62d-e58f63e48b8c;Kostenlose Downloads | Hamburger Puppentheater;https://redaktion.openeduhub.net/edu-sharing/components/render/38b9373c-8000-44ab-b62d-e58f63e48b8c;;;whitelist
acbfb74a-295e-460b-be50-3c3d35396c39;Kostenlose Downloads | Hamburger Puppentheater;https://hamburgerpuppentheater.de/start/theater/fuer-lehrkraefte-paedagoginnen-multiplikatorinnen/kostenlose-downloads.html;;;whitelist
a2cb2b79-8ead-4651-a73e-d3d4bac67392;LEIFIphysik;https://www.leifiphysik.de/;leifi_spider;leifi_spider;whitelist
39c91cfa-5ea3-42e6-ab1b-1820c64623d0;Learning Snacks;https://www.learningsnacks.de;wirlernenonline_spider;wirlernenonline_spider;whitelist
8fd9839f-835e-40ba-8dd1-395338259615;LearningApps.org;https://learningapps.org/;learning_apps_spider;learning_apps_spider;whitelist
